"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","54250","sph","127.0.0.1","kernelBuildGrid(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.max_rate","","1"
"0","54250","sph","127.0.0.1","kernelBuildGrid(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct","%","24.58"
"0","54250","sph","127.0.0.1","kernelBuildGrid(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.ratio","","0.25"
"1","54250","sph","127.0.0.1","kernelUpdatePressureAndDensity(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.max_rate","","1"
"1","54250","sph","127.0.0.1","kernelUpdatePressureAndDensity(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct","%","36.27"
"1","54250","sph","127.0.0.1","kernelUpdatePressureAndDensity(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.ratio","","0.36"
"2","54250","sph","127.0.0.1","kernelUpdateForces(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.max_rate","","1"
"2","54250","sph","127.0.0.1","kernelUpdateForces(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct","%","51.17"
"2","54250","sph","127.0.0.1","kernelUpdateForces(Particle *, Particle **)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.ratio","","0.51"
"3","54250","sph","127.0.0.1","kernelUpdatePositions(Particle *, float3 *)","2025-Apr-28 16:53:58","1","7","Command line profiler metrics","l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.max_rate","","1"
